#,Date-Time (CET/CEST),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,10.04.2021 03:48:34,9,75,94,67,8,94,,
2,10.04.2021 03:58:34,9,67,94,50,8,84,,
3,10.04.2021 04:08:34,9,61,94,65,8,80,,
4,10.04.2021 04:18:34,9,65,94,76,8,86,,
5,10.04.2021 04:28:34,9,64,94,77,8,85,,
6,10.04.2021 04:38:34,9,57,94,68,8,77,,
7,10.04.2021 04:48:34,9,54,94,80,8,76,,
8,10.04.2021 04:58:34,9,57,94,92,8,81,,
9,10.04.2021 05:08:34,9,57,95,09,8,84,,
10,10.04.2021 05:18:34,9,55,95,22,8,84,,
11,10.04.2021 05:28:34,9,60,95,22,8,88,,
12,10.04.2021 05:38:34,9,62,95,27,8,91,,
13,10.04.2021 05:48:34,9,65,95,32,8,95,,
14,10.04.2021 05:58:34,9,67,95,35,8,97,,
15,10.04.2021 06:08:34,9,70,95,33,9,00,,
16,10.04.2021 06:18:34,9,70,95,38,9,01,,
17,10.04.2021 06:28:34,9,74,95,46,9,06,,
18,10.04.2021 06:38:34,9,76,95,47,9,08,,
19,10.04.2021 06:48:34,9,80,95,47,9,12,,
20,10.04.2021 06:58:34,9,80,95,52,9,13,,
21,10.04.2021 07:08:34,9,90,95,69,9,25,,
22,10.04.2021 07:18:34,9,98,95,76,9,35,,
23,10.04.2021 07:28:34,10,03,95,82,9,40,,
24,10.04.2021 07:38:34,10,07,95,86,9,45,,
25,10.04.2021 07:48:34,10,09,95,87,9,47,,
26,10.04.2021 07:58:34,10,15,95,90,9,54,,
27,10.04.2021 08:08:34,10,20,95,94,9,59,,
28,10.04.2021 08:18:34,10,21,95,92,9,60,,
29,10.04.2021 08:28:34,10,23,95,92,9,62,,
30,10.04.2021 08:38:34,10,24,95,93,9,63,,
31,10.04.2021 08:48:34,10,27,95,95,9,67,,
32,10.04.2021 08:58:34,10,25,95,92,9,64,,
33,10.04.2021 09:08:34,10,25,95,90,9,64,,
34,10.04.2021 09:18:34,10,30,95,81,9,68,,
35,10.04.2021 09:28:34,10,38,95,81,9,75,,
36,10.04.2021 09:38:34,10,35,95,65,9,69,,
37,10.04.2021 09:48:34,10,37,95,70,9,72,,
38,10.04.2021 09:58:34,10,48,95,75,9,84,,
39,10.04.2021 10:08:34,10,53,95,70,9,88,,
40,10.04.2021 10:18:34,10,56,95,60,9,90,,
41,10.04.2021 10:28:34,10,52,95,57,9,85,,
42,10.04.2021 10:38:34,10,60,95,60,9,94,,
43,10.04.2021 10:48:34,10,68,95,67,10,03,,
44,10.04.2021 10:58:34,10,74,95,53,10,07,,
